,temperature,humidity,altitude,rain,sunshine,sow
0,20.56,0.5616,1792.51,157.98,5.0,1
1,19.89,0.4404,1491.87,138.53,5.18,0
2,19.13,0.6483,1442.02,135.11,4.93,1
3,18.18,0.6214,1508.78,158.78,5.08,0
4,23.06,0.641,1595.61,161.61,4.88,0
5,16.92,0.6383,1716.09,143.52,4.81,0
6,18.01,0.6728,1671.7,142.01,4.86,0
7,22.18,0.6127,1419.4,149.67,4.97,0
8,19.99,0.6651,1257.88,157.6,4.82,1
9,15.9,0.4504,1532.63,140.2,5.08,0
10,17.62,0.5908,1490.81,146.04,5.09,0
11,20.47,0.5971,1588.98,156.0,4.98,1
12,20.49,0.6122,1383.33,152.11,5.24,1
13,20.69,0.6728,1543.06,153.4,4.89,1
14,21.38,0.6192,1562.28,166.13,4.92,1
15,16.36,0.6186,1440.56,162.16,5.17,0
16,22.97,0.5635,1593.31,159.25,4.94,0
17,17.86,0.5563,1535.91,147.62,5.02,0
18,19.73,0.5427,1555.59,146.24,5.1,1
19,20.01,0.5565,1363.21,161.52,5.02,1
20,18.31,0.6512,1528.8,143.24,5.04,0
21,21.87,0.6299,1594.2,165.46,4.99,1
22,19.69,0.5056,1533.6,153.21,5.0,1
23,21.01,0.6104,1469.1,147.61,5.01,1
24,23.99,0.825,1476.97,148.46,4.85,0
25,22.24,0.577,1587.42,135.95,5.09,0
26,19.15,0.7131,1738.86,155.02,4.92,1
27,18.84,0.6635,1448.58,138.46,4.88,0
28,19.71,0.6783,1551.05,151.91,5.09,1
29,17.5,0.4757,1405.0,137.44,5.01,0
30,21.48,0.6842,1376.48,161.66,4.91,1
31,21.71,0.7099,1493.06,151.42,5.17,1
32,15.75,0.6343,1389.49,145.61,4.97,0
33,22.35,0.5773,1503.95,160.25,4.89,0
34,22.42,0.6095,1316.42,146.59,4.86,0
35,18.9,0.5355,1648.15,149.9,5.0,0
36,24.54,0.6261,1266.25,136.69,5.14,0
37,16.23,0.5742,1476.31,159.64,4.94,0
38,18.13,0.5462,1359.99,144.21,5.0,0
39,19.97,0.5842,1510.39,160.18,4.91,1
40,21.16,0.649,1395.39,160.78,5.13,1
41,24.11,0.4385,1657.0,148.66,4.85,0
42,19.55,0.5271,1401.28,162.62,4.9,1
43,22.34,0.6372,1441.12,154.58,5.08,0
44,20.69,0.5818,1655.89,146.55,5.1,1
45,22.44,0.6247,1468.86,152.4,5.19,0
46,20.47,0.7296,1542.53,151.71,4.96,1
47,18.91,0.7179,1546.53,152.75,4.92,0
48,18.38,0.5541,1391.68,155.09,4.98,0
49,20.29,0.6193,1395.94,143.32,4.95,1
50,16.23,0.4445,1347.83,148.79,4.9,0
51,19.4,0.5493,1600.94,159.88,4.97,1
52,19.67,0.5799,1478.77,147.94,5.04,1
53,17.72,0.628,1337.37,147.03,4.85,0
54,20.51,0.6774,1484.41,154.1,4.95,1
55,20.52,0.5106,1638.24,146.15,5.24,1
56,22.76,0.568,1417.89,144.66,4.96,0
57,16.15,0.5408,1445.48,154.23,5.17,0
58,21.38,0.6091,1480.32,142.46,5.18,1
59,13.64,0.4908,1457.18,142.85,4.96,0
60,22.14,0.61,1401.34,136.73,4.95,0
61,22.17,0.7294,1445.44,159.61,5.01,0
62,16.45,0.6926,1574.85,149.45,5.03,0
63,17.71,0.6699,1651.12,149.07,4.87,0
64,18.08,0.514,1427.89,156.45,5.12,0
65,22.36,0.733,1490.7,160.18,5.07,0
66,21.92,0.5769,1385.01,154.44,4.95,1
67,19.35,0.6079,1515.98,145.21,4.94,1
68,23.52,0.5457,1652.96,150.05,5.04,0
69,25.84,0.648,1572.66,155.81,5.24,0
70,17.02,0.6192,1465.38,154.48,4.85,0
71,15.64,0.5495,1432.77,150.85,5.13,0
72,21.42,0.5284,1542.09,162.22,4.94,1
73,16.75,0.648,1280.12,167.14,5.0,0
74,20.88,0.5618,1322.24,142.52,5.2,1
75,21.2,0.5134,1625.8,162.32,5.02,1
76,20.1,0.6121,1505.21,136.93,4.89,1
77,21.24,0.6853,1633.1,156.47,4.95,1
78,21.5,0.6187,1548.24,134.74,5.06,1
79,18.8,0.7246,1351.41,156.95,5.14,0
80,18.21,0.6148,1413.78,142.61,5.09,0
81,18.67,0.6824,1450.02,149.76,4.93,0
82,18.36,0.6614,1560.65,156.69,5.1,0
83,16.93,0.6218,1490.68,163.68,4.87,0
84,21.82,0.5282,1482.72,176.09,4.93,1
85,20.59,0.592,1347.46,159.09,4.98,1
86,24.12,0.5761,1494.81,147.62,4.84,0
87,21.1,0.5157,1381.07,155.81,5.02,1
88,21.1,0.6193,1596.38,146.92,4.98,1
89,17.85,0.63,1462.52,156.7,5.0,0
90,17.84,0.5396,1840.16,140.92,4.87,0
91,19.64,0.6675,1376.04,160.73,4.99,1
92,14.45,0.5641,1395.08,153.71,4.97,0
93,20.85,0.5141,1438.66,152.65,4.96,1
